segment_Id,speed,frame,date
15879887192069,11.6736,39,17/03/2018
15879887192069,11.6723,40,17/03/2018
15879887192069,11.671,41,17/03/2018
15879887192069,11.6697,42,17/03/2018
15879887192069,11.6684,43,17/03/2018
15879887192069,11.6671,44,17/03/2018
15879887192069,11.6658,45,17/03/2018
15879887192069,11.6646,46,17/03/2018
15879887192069,11.6633,47,17/03/2018
15879887192069,11.662,48,17/03/2018
15879887192069,11.6607,49,17/03/2018
15879887192069,11.6595,50,17/03/2018
15879887192069,11.6582,51,17/03/2018
15879887192069,11.6569,52,17/03/2018
15879887192069,11.6557,53,17/03/2018
15879887192069,11.6544,54,17/03/2018
15879887192069,11.6532,55,17/03/2018
15879887192069,11.652,56,17/03/2018
15879887192069,11.6507,57,17/03/2018
15879887192069,11.6495,58,17/03/2018
15879887192069,11.6483,59,17/03/2018
15879887192069,11.6471,60,17/03/2018
15879887192069,11.6458,61,17/03/2018
15879887192069,11.6446,62,17/03/2018
15879887192069,11.6434,63,17/03/2018
15879887192069,11.6422,64,17/03/2018
15879887192069,11.641,65,17/03/2018
15879887192069,11.6398,66,17/03/2018
15879887192069,11.6387,67,17/03/2018
15879887192069,11.6375,68,17/03/2018
15879887192069,11.6363,69,17/03/2018
15879887192069,11.6351,70,17/03/2018
15879887192069,11.634,71,17/03/2018
15879887192069,11.6328,72,17/03/2018
15879887192069,11.6316,73,17/03/2018
15879887192069,11.6305,74,17/03/2018
15879887192069,11.6293,75,17/03/2018
15879887192069,11.6282,76,17/03/2018
15879887192069,11.627,77,17/03/2018
15879887192069,11.6259,78,17/03/2018
15879887192069,11.6248,79,17/03/2018
15879887192069,11.6236,80,17/03/2018
15879887192069,11.6225,81,17/03/2018
15879887192069,11.6214,82,17/03/2018
15879887192069,11.6203,83,17/03/2018
15879887192069,11.6192,84,17/03/2018
15879887192069,11.6181,85,17/03/2018
15879887192069,11.617,86,17/03/2018
15879887192069,11.6159,87,17/03/2018
15879887192069,11.6148,88,17/03/2018
15879887192069,11.6137,89,17/03/2018
15879887192069,11.6126,90,17/03/2018
15879887192069,11.6116,91,17/03/2018
15879887192069,11.6105,92,17/03/2018
15879887192069,11.6094,93,17/03/2018
15879887192069,11.6083,94,17/03/2018
15879887192069,11.6073,95,17/03/2018
15879887192069,11.6062,0,18/03/2018
15879887192069,11.7293,1,18/03/2018
15879887192069,11.7255,2,18/03/2018
15879887192069,11.7241,3,18/03/2018
15879887192069,11.7226,4,18/03/2018
15879887192069,11.7211,5,18/03/2018
15879887192069,11.7196,6,18/03/2018
15879887192069,11.7182,7,18/03/2018
15879887192069,11.7167,8,18/03/2018
15879887192069,11.7152,9,18/03/2018
15879887192069,11.7138,10,18/03/2018
15879887192069,11.7123,11,18/03/2018
15879887192069,11.7109,12,18/03/2018
15879887192069,11.7094,13,18/03/2018
15879887192069,11.708,14,18/03/2018
15879887192069,11.7066,15,18/03/2018
15879887192069,11.7051,16,18/03/2018
15879887192069,11.7037,17,18/03/2018
15879887192069,11.7023,18,18/03/2018
15879887192069,11.7009,19,18/03/2018
15879887192069,11.6995,20,18/03/2018
15879887192069,11.6981,21,18/03/2018
15879887192069,11.6967,22,18/03/2018
15879887192069,11.6953,23,18/03/2018
15879887192069,11.6939,24,18/03/2018
15879887192069,11.6925,25,18/03/2018
15879887192069,11.6911,26,18/03/2018
15879887192069,11.6898,27,18/03/2018
15879887192069,11.6884,28,18/03/2018
15879887192069,11.687,29,18/03/2018
15879887192069,11.6857,30,18/03/2018
15879887192069,11.6843,31,18/03/2018
15879887192069,11.683,32,18/03/2018
15879887192069,11.6816,33,18/03/2018
15879887192069,11.6803,34,18/03/2018
15879887192069,11.6789,35,18/03/2018
15879887192069,11.6776,36,18/03/2018
15879887192069,11.6763,37,18/03/2018
15879887192069,11.675,38,18/03/2018
15879887192069,11.6736,39,18/03/2018
15879887192069,11.6723,40,18/03/2018
15879887192069,11.671,41,18/03/2018
15879887192069,11.6697,42,18/03/2018
15879887192069,11.6684,43,18/03/2018
15879887192069,11.6671,44,18/03/2018
15879887192069,11.6658,45,18/03/2018
15879887192069,11.6646,46,18/03/2018
15879887192069,11.6633,47,18/03/2018
15879887192069,11.662,48,18/03/2018
15879887192069,11.6607,49,18/03/2018
15879887192069,11.6595,50,18/03/2018
15879887192069,11.6582,51,18/03/2018
15879887192069,11.6569,52,18/03/2018
15879887192069,11.6557,53,18/03/2018
15879887192069,11.6544,54,18/03/2018
15879887192069,11.6532,55,18/03/2018
15879887192069,11.652,56,18/03/2018
15879887192069,11.6507,57,18/03/2018
15879887192069,11.6495,58,18/03/2018
15879887192069,11.6483,59,18/03/2018
15879887192069,11.6471,60,18/03/2018
15879887192069,11.6458,61,18/03/2018
15879887192069,11.6446,62,18/03/2018
15879887192069,11.6434,63,18/03/2018
15879887192069,11.6422,64,18/03/2018
15879887192069,11.641,65,18/03/2018
15879887192069,11.6398,66,18/03/2018
15879887192069,11.6387,67,18/03/2018
15879887192069,11.6375,68,18/03/2018
15879887192069,11.6363,69,18/03/2018
15879887192069,11.6351,70,18/03/2018
15879887192069,11.634,71,18/03/2018
15879887192069,11.6328,72,18/03/2018
15879887192069,11.6316,73,18/03/2018
15879887192069,11.6305,74,18/03/2018
15879887192069,11.6293,75,18/03/2018
15879887192069,11.6282,76,18/03/2018
15879887192069,11.627,77,18/03/2018
15879887192069,11.6259,78,18/03/2018
15879887192069,11.6248,79,18/03/2018
15879887192069,11.6236,80,18/03/2018
15879887192069,11.6225,81,18/03/2018
15879887192069,11.6214,82,18/03/2018
15879887192069,11.6203,83,18/03/2018
15879887192069,11.6192,84,18/03/2018
15879887192069,11.6181,85,18/03/2018
15879887192069,11.617,86,18/03/2018
15879887192069,11.6159,87,18/03/2018
15879887192069,11.6148,88,18/03/2018
15879887192069,11.6137,89,18/03/2018
15879887192069,11.6126,90,18/03/2018
15879887192069,11.6116,91,18/03/2018
15879887192069,11.6105,92,18/03/2018
15879887192069,11.6094,93,18/03/2018
15879887192069,11.6083,94,18/03/2018
15879887192069,11.6073,95,18/03/2018
15879887192069,11.6062,0,19/03/2018
15879887192069,11.7293,1,19/03/2018
15879887192069,11.7255,2,19/03/2018
15879887192069,11.7241,3,19/03/2018
15879887192069,11.7226,4,19/03/2018
15879887192069,11.7211,5,19/03/2018
15879887192069,11.7196,6,19/03/2018
15879887192069,11.7182,7,19/03/2018
15879887192069,11.7167,8,19/03/2018
15879887192069,11.7152,9,19/03/2018
15879887192069,11.7138,10,19/03/2018
15879887192069,11.7123,11,19/03/2018
15879887192069,11.7109,12,19/03/2018
15879887192069,11.7094,13,19/03/2018
15879887192069,11.708,14,19/03/2018
15879887192069,11.7066,15,19/03/2018
15879887192069,11.7051,16,19/03/2018
15879887192069,11.7037,17,19/03/2018
15879887192069,11.7023,18,19/03/2018
15879887192069,11.7009,19,19/03/2018
15879887192069,11.6995,20,19/03/2018
15879887192069,11.6981,21,19/03/2018
15879887192069,11.6967,22,19/03/2018
